card_id,kiosk_name,dormant_proba,risk_level,top_category,trigger,message,bonus_sums,send_day,channel
CARD-07378,REGION-070,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-16040,REGION-064,0.861,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-04175,REGION-058,0.861,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-15233,REGION-019,0.861,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-01325,REGION-074,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-02145,REGION-041,0.861,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-17427,REGION-073,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-14457,REGION-017,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-03290,REGION-014,0.841,CRITICAL,Перевод внутри страны - списание,transfer_bonus,Бонус 1% на переводы другим — отправляйте с выгодой!,100,1,push + sms
CARD-05854,REGION-007,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-14144,REGION-051,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-11146,REGION-033,0.841,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-11574,REGION-009,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-06979,REGION-067,0.841,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-07385,REGION-075,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-08801,REGION-075,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-06793,REGION-036,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-14512,REGION-070,0.841,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-06953,REGION-018,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-12120,REGION-055,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-13181,REGION-073,0.841,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-01039,REGION-059,0.841,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-13162,REGION-033,0.841,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-08212,REGION-074,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-16787,REGION-075,0.841,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-07137,REGION-043,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-16502,REGION-070,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-10560,REGION-026,0.841,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-04122,REGION-060,0.841,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-08767,REGION-057,0.841,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-03518,REGION-009,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-01361,REGION-027,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-03205,REGION-007,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-09251,REGION-018,0.841,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-12232,REGION-008,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-15578,REGION-075,0.841,CRITICAL,Кэш кредит Nasiya - пополнение,nasiya_loyalty,Бонус 500 сум за регулярное погашение Nasiya!,500,1,push + sms
CARD-14089,REGION-007,0.841,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-02019,REGION-035,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-02469,REGION-016,0.841,CRITICAL,Перевод внутри страны - списание,transfer_bonus,Бонус 1% на переводы другим — отправляйте с выгодой!,100,1,push + sms
CARD-10384,REGION-059,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-00416,REGION-003,0.841,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-17033,REGION-017,0.841,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-14063,REGION-015,0.841,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-03759,REGION-008,0.841,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-02890,REGION-002,0.841,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-02499,REGION-058,0.841,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-08966,REGION-051,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-03479,REGION-018,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-09748,REGION-036,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-06398,REGION-054,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-11296,REGION-018,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-08037,REGION-052,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-03372,REGION-035,0.787,CRITICAL,Перевод внутри страны - списание,transfer_bonus,Бонус 1% на переводы другим — отправляйте с выгодой!,100,1,push + sms
CARD-06533,REGION-038,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-06550,REGION-007,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-03437,REGION-067,0.787,CRITICAL,Перевод внутри страны - списание,transfer_bonus,Бонус 1% на переводы другим — отправляйте с выгодой!,100,1,push + sms
CARD-03631,REGION-057,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-09631,REGION-040,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-00872,REGION-046,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-16666,REGION-030,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-09426,REGION-027,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-04183,REGION-009,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-04172,REGION-009,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-04158,REGION-013,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-05930,REGION-072,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-16587,REGION-070,0.787,CRITICAL,Перевод внутри страны - списание,transfer_bonus,Бонус 1% на переводы другим — отправляйте с выгодой!,100,1,push + sms
CARD-00769,REGION-046,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-16577,REGION-018,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-04060,REGION-057,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-03990,REGION-046,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-11724,REGION-023,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-03979,REGION-035,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-03897,REGION-008,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-03565,REGION-042,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-13663,REGION-072,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-16469,REGION-009,0.787,CRITICAL,Перевод внутри страны - списание,transfer_bonus,Бонус 1% на переводы другим — отправляйте с выгодой!,100,1,push + sms
CARD-00925,REGION-018,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-00926,REGION-009,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-00966,REGION-033,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-08206,REGION-009,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-11586,REGION-039,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-11572,REGION-042,0.787,CRITICAL,Кэш кредит Nasiya - пополнение,nasiya_loyalty,Бонус 500 сум за регулярное погашение Nasiya!,500,1,push + sms
CARD-00999,REGION-005,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-13944,REGION-002,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-09806,REGION-043,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-14013,REGION-069,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-16247,REGION-009,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-09803,REGION-012,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-14396,REGION-018,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-11187,REGION-058,0.787,CRITICAL,Кэш кредит Nasiya - пополнение,nasiya_loyalty,Бонус 500 сум за регулярное погашение Nasiya!,500,1,push + sms
CARD-10622,REGION-038,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-07007,REGION-018,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-07675,REGION-006,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-10756,REGION-016,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-14908,REGION-002,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-02552,REGION-075,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-14985,REGION-026,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-07592,REGION-046,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-02528,REGION-005,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-01803,REGION-018,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-02525,REGION-046,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-15590,REGION-042,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-07585,REGION-036,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-15035,REGION-035,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-02439,REGION-033,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-02412,REGION-028,0.787,CRITICAL,Снятие наличных в АТМ - Kапитал Банк,atm_fee_waiver,Без комиссии на снятие в банкоматах Капитал Банк!,0,1,push + sms
CARD-14730,REGION-019,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-10613,REGION-046,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-02378,REGION-017,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-02373,REGION-016,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-02367,REGION-002,0.787,CRITICAL,Кэш кредит Nasiya - пополнение,nasiya_loyalty,Бонус 500 сум за регулярное погашение Nasiya!,500,1,push + sms
CARD-02346,REGION-057,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-10314,REGION-047,0.787,CRITICAL,Снятие наличных в АТМ - Kапитал Банк,atm_fee_waiver,Без комиссии на снятие в банкоматах Капитал Банк!,0,1,push + sms
CARD-02000,REGION-041,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-10333,REGION-018,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-02266,REGION-018,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-10502,REGION-027,0.787,CRITICAL,Снятие наличных в АТМ - Другие банки,atm_cashback,Кэшбэк 1% при снятии в других банкоматах!,50,1,push + sms
CARD-02201,REGION-015,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-07408,REGION-067,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-07362,REGION-018,0.787,CRITICAL,Возвраты/отмены - Оплаты,general_cashback,"Кэшбэк 2% на все оплаты — больше транзакций, больше выгоды!",100,1,push + sms
CARD-15353,REGION-027,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-02736,REGION-057,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-15747,REGION-043,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-01265,REGION-032,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-03023,REGION-009,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-03238,REGION-005,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-06665,REGION-067,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-06672,REGION-060,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-07964,REGION-046,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-01373,REGION-016,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-06694,REGION-020,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-06699,REGION-049,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-15947,REGION-027,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-04262,REGION-042,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-03137,REGION-075,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-14426,REGION-046,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-07947,REGION-032,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-09914,REGION-039,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-03085,REGION-046,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-09967,REGION-057,0.787,CRITICAL,Снятие наличных в АТМ - Другие банки,atm_cashback,Кэшбэк 1% при снятии в других банкоматах!,50,1,push + sms
CARD-06956,REGION-008,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-14549,REGION-005,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-10965,REGION-002,0.787,CRITICAL,Снятие наличных в АТМ - Другие банки,atm_cashback,Кэшбэк 1% при снятии в других банкоматах!,50,1,push + sms
CARD-07860,REGION-031,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-10060,REGION-033,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-01506,REGION-018,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-14607,REGION-012,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-15782,REGION-016,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-14651,REGION-018,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-14676,REGION-022,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-15772,REGION-027,0.787,CRITICAL,Перевод внутри страны - пополнение,transfer_bonus,Бонус 1% на входящие переводы — получайте выгоду!,100,1,push + sms
CARD-02826,REGION-070,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-06951,REGION-075,0.787,CRITICAL,Оффлайн оплаты,cashback_offline,Кэшбэк 3% на оплаты в магазинах — платите картой!,150,1,push + sms
CARD-14708,REGION-053,0.787,CRITICAL,Онлайн оплаты,cashback_online,Кэшбэк 4% на онлайн-оплаты — совершайте покупки онлайн!,200,1,push + sms
CARD-15748,REGION-054,0.787,CRITICAL,Перевод внутри страны - списание,transfer_bonus,Бонус 1% на переводы другим — отправляйте с выгодой!,100,1,push + sms
